	HP301.W9	CML277.W6.1	CML277.W10	IL14H.W10.1	B73.W6	MO17.W7.1	HP301.W12.1	IL14H.W4	IL14H.W6	B73.W8	IL14H.W11.1	CML277.W5	HP301.W10
360823	81	32	28	30	41	56	59	66	29	43	15	35	21
137818	48	45	33	43	40	70	72	54	13	38	29	52	21
813938	230	75	20	45	55	164	72	119	59	61	10	117	24
811263	74	16	42	65	26	39	90	32	16	34	38	25	57
208805	21	24	34	27	7	49	30	32	5	11	5	27	25
2591424	136	94	39	61	13	97	30	11	35	37	21	16	94
824146	16	15	9	7	10	3	8	17	8	5	1	18	3
510547	5	10	9	17	4	9	14	6	1	28	1	8	11
1105574	118	42	257	235	233	40	3373	71	23	5	1561	15	705
1108685	76	11	31	37	14	22	47	30	13	24	25	5	6
365415	16	6	12	8	9	8	11	11	3	7	5	5	4
915948	11	10	0	1	2	6	4	30	44	1	1	9	4
1098922	16	13	7	4	8	33	2	20	6	18	3	12	6
4316013	13	16	8	11	10	41	5	15	3	12	11	22	10
814232	113	57	66	55	123	151	48	160	32	74	29	89	31
769643	5	6	15	7	41	9	4	5	14	5	4	15	18
130710	0	0	2	0	0	1	0	0	0	1	0	0	2
825183	517	256	230	623	85	276	161	504	146	286	30	320	128
557467	18	8	22	27	10	25	134	20	3	13	30	13	48
550164	101	130	51	82	7	26	28	112	33	145	0	87	16
577068	12	3	17	14	9	13	17	15	3	3	13	5	7
246952	1218	532	969	237	71	542	137	167	66	157	601	156	549
281360	122	181	1321	415	49	89	337	27	26	59	273	14	246
153239	3	1	6	2	0	0	6	3	0	0	17	0	1
1082846	39	18	4	4	23	31	98	20	10	30	3	9	87
11428	8	8	4	11	4	15	26	6	13	13	8	9	6
962736	49	23	62	88	25	26	53	42	14	51	41	20	17
18499	7244	8018	14571	14677	4924	6265	1615	7001	18622	3632	13054	3921	13724
591358	42	35	24	17	20	52	21	61	18	26	9	24	14
238109	32	49	284	3	6	63	2	25	17	27	0	11	16
218116	286	221	162	178	147	307	219	331	105	178	88	151	130
582391	273	187	342	53	50	270	43	92	64	178	26	88	45
556561	285	178	228	367	79	166	358	225	68	71	165	181	188
1109142	78	43	41	47	28	58	15	89	8	49	11	36	35
1108431	23	17	26	22	9	23	15	23	3	14	8	16	7
105113	193	156	89	136	128	210	216	246	91	105	126	163	124
792868	12	76	10	9	20	33	48	18	4	14	14	66	15
107234	61	55	41	80	38	94	91	82	36	28	36	41	50
209613	95	70	46	20	68	149	19	127	27	145	3	113	42
4302753	15	17	26	32	14	10	57	21	7	44	29	10	13
1052930	129	327	164	177	50	69	279	105	78	141	126	815	100
249068	34	12	23	19	10	16	25	12	2	19	20	8	9
237634	10	0	7	8	2	3	1	4	0	4	0	0	2
539496	40	15	16	18	16	43	21	18	5	8	6	8	17
1037355	3000	365	4623	2284	360	1237	1883	148	583	1029	9128	545	4611
586230	6	1	18	25	5	34	67	11	15	7	37	1	9
1121806	7	9	11	3	10	12	10	11	7	6	4	4	14
1088120	3	9	52	16	13	28	19	15	8	2	9	8	2
965853	12	4	2	9	0	4	22	8	2	4	16	1	4
835594	391	296	175	401	390	550	382	577	200	345	148	364	174
510316	113	40	72	92	38	70	155	71	19	35	43	26	47
831179	603	581	1080	376	122	230	42	319	112	277	85	102	215
586031	9	2	9	5	5	0	12	6	0	7	0	9	4
547097	291	67	162	117	68	138	65	104	87	73	26	59	91
931643	28	125	84	164	34	69	20	38	114	101	42	49	97
222183	1597	267	831	530	119	398	61	290	1138	190	145	221	506
341698	857	1051	388	382	276	990	73	596	458	517	33	1621	257
896338	154	125	201	68	9	120	22	21	15	13	8	17	48
219243	6	16	11	19	1	18	10	5	5	10	10	2	6
1011958	136	93	61	254	29	81	31	124	79	59	1	193	49
876170	259	56	220	302	24	91	60	72	112	180	11	127	61
883748	87	46	27	79	33	120	108	219	29	15	107	26	135
529793	14	8	31	33	4	9	29	2	1	16	14	6	14
769292	347	101	215	164	41	236	119	163	28	120	49	113	108
854368	27	12	30	32	14	24	20	12	12	13	11	15	16
648543	13	18	1	1	7	21	16	9	6	6	7	11	5
810679	9	5	2	12	6	6	2	10	3	9	4	13	7
269781	0	0	0	0	0	0	2	10	14	0	0	0	0
788632	1540	6065	497	2740	514	2155	246	4358	2187	1279	586	2227	740
892000	1317	758	722	1275	653	1280	1649	1143	422	913	503	740	534
637184	104	48	73	64	42	73	110	118	49	32	53	38	46
1051517	46	28	34	69	24	56	118	57	11	14	86	34	12
1094453	37	19	8	25	7	26	59	23	13	11	3	28	2
550219	24	18	12	8	21	22	22	10	5	9	13	11	12
818282	47	18	49	54	22	48	58	59	4	37	32	21	11
254401	839	402	550	295	178	373	225	392	136	221	191	131	494
546690	6	10	7	23	2	12	6	4	0	24	1	6	9
3723650	54	16	81	29	6	48	52	22	10	22	10	8	19
1108726	588	1260	1468	758	386	915	748	611	333	1145	1304	475	710
1102554	18	13	7	31	14	23	39	54	20	21	1	44	5
262768	33	22	181	74	2	14	54	2	4	4	59	2	64
966091	85	73	92	78	92	207	160	176	53	137	45	122	68
55354	18	1	15	30	4	4	89	2	2	1	19	1	23
515709	148	36	101	162	37	36	381	92	17	27	120	38	57
902698	76	26	38	48	13	65	46	34	14	24	28	21	20
591499	1	7	5	5	4	2	2	4	4	0	0	2	1
569066	822	528	1028	422	125	435	146	274	332	384	45	816	209
823091	24	8	11	19	15	25	5	32	11	19	2	18	5
219094	13	5	16	27	0	6	6	1	1	1	25	0	15
961783	286	444	123	133	286	814	82	351	52	216	66	149	785
823633	65	21	45	72	22	78	68	71	28	33	28	59	32
