	pearson_reconstructed	pearson_predicted	braycurtis_reconstructed	braycurtis_predicted
11116.I16A099.1195979	0.99978095	0.97917885	0.0637573	0.36726007
11116.A02C067.1196815	0.9571863	0.7605871	0.14142749	0.33506224
11116.A18A097.1197169	0.9991318	0.93243504	0.074739136	0.33430877
11116.I21A093.1198100	0.9971969	0.9919775	0.12808847	0.19393134
11116.A33C118.1197116	0.9421615	0.76569486	0.27645862	0.43663633
11116.A01C085.1197802	0.99997264	0.91620404	0.022046132	0.6419478
11116.I27A069.1194867	0.99526244	0.43625298	0.14971286	0.5962778
11116.L17A095.1194170	0.99993116	0.9582548	0.030752417	0.60455185
11116.U429A61.1196876	0.88193315	0.1428761	0.28506806	0.7281926
11116.A26A079.1194248	0.9222052	0.72647166	0.19882178	0.3271423
11116.A23B082.1194893	0.9999703	0.9713108	0.023796601	0.42429084
11116.A28A091.1195792	0.99997663	0.9712836	0.021093594	0.49975938
11116.L24A105.1197358	0.9983706	0.9623871	0.134027	0.3142677
11116.L06A101.1193845	0.99573606	0.91092896	0.14927697	0.29316542
11116.I11A072.1198299	0.9398156	0.7055606	0.18348944	0.35557917
11116.L12A074.1195071	0.9574184	0.7288225	0.17190559	0.40651283
11116.L23A089.1196726	0.9989172	0.9740851	0.104219824	0.24095261
11116.I03A120.1193818	0.9949917	0.8970068	0.12417586	0.36203533
11116.I04A097.1194404	0.9990158	0.9580467	0.09689361	0.40581322
11116.L05A064.1195823	0.9534421	0.78516984	0.17738584	0.24573134
11116.A14C076.1195832	0.9688322	0.7679589	0.14315641	0.33044282
11116.C25A65.1197173	0.9994592	0.9475811	0.102772266	0.43062866
11116.A10A103.1196565	0.99889404	0.971053	0.09885479	0.24251653
11116.L12A119.1197513	0.99978614	0.7723941	0.048310082	0.6464617
11116.L23A064.1196519	0.9586318	0.9158987	0.15017526	0.2145958
11116.A07B070.1194388	0.9685209	0.7581453	0.16787462	0.3595155
11116.L11A101.1196216	0.9951143	0.9326062	0.11326927	0.25203252
11116.I22A101.1193906	0.9992111	0.9453991	0.10281745	0.3021429
11116.L16A078.1196430	0.9645187	0.76809704	0.14294401	0.31637275
11116.A22C070.1193629	0.8901334	0.7176163	0.2150164	0.4044843
11116.U497A63.1195824	0.70031357	0.27117383	0.32393533	0.6839879
11116.A31C094.1196245	0.99963003	0.88524765	0.070470184	0.50983775
11116.I02A074.1197086	0.88331544	0.6907204	0.2699242	0.40259385
11116.I30A101.1195158	0.9980958	0.9919629	0.094951965	0.2866936
11116.A23B100.1197861	0.96828806	0.9050533	0.17269796	0.41183102
11116.I15A099.1197470	0.9998956	0.9738429	0.04661472	0.38234818
11116.A13A097.1196501	0.99984545	0.9771574	0.042580068	0.38258994
11116.L22A080.1195389	0.98800296	0.41205025	0.15394078	0.4246107
11116.I04A086.1197022	0.9866934	0.97123677	0.15107693	0.22883052
11116.I06A072.1195136	0.888751	0.36372602	0.23710015	0.4785068
11116.A31B085.1193840	0.998083	0.9502418	0.10225717	0.34382883
11116.I12A079.1194921	0.8771431	0.6923572	0.26718622	0.38002604
11116.A16C061.1198327	0.955239	0.7857884	0.13340881	0.28318375
11116.L32A091.1196989	0.97447854	0.9503557	0.22084267	0.36292595
11116.L04A070.1195935	0.952245	0.8589347	0.168673	0.25520703
11116.I27A083.1194701	0.9998657	0.9800767	0.06083319	0.4086676
11116.I17A064.1193689	0.9645375	0.88441855	0.14811853	0.2833174
11116.L07A093.1194689	0.9998942	0.9607934	0.050539866	0.46272424
11116.I15A067.1195855	0.9541607	0.66145396	0.15681668	0.3944555
11116.A33A079.1194381	0.9843981	0.7625498	0.13279366	0.3691867
11116.A24A103.1195829	0.99969584	0.9951132	0.07222897	0.22718844
11116.I31A084.1197848	0.98763484	0.9437518	0.17038289	0.42312524
11116.A21A082.1194060	0.9997116	0.9837908	0.06529543	0.27226913
11116.I24A075.1197580	0.78100127	0.55144805	0.25231737	0.41593713
11116.L19A120.1196063	0.9157793	0.47530282	0.31636736	0.5438854
11116.I15A120.1194219	0.9905658	0.90974337	0.15044403	0.3177751
11116.A02A076.1197388	0.9541399	0.7357065	0.16759126	0.32783172
11116.A11A118.1195990	0.97307515	0.8708039	0.19025901	0.29152805
11116.I14A076.1193777	0.9261548	0.75008833	0.20099114	0.3651228
11116.I32A103.1195945	0.99723405	0.9601237	0.1463223	0.2921866
11116.L17A120.1195731	0.9658712	0.8660578	0.19647594	0.34559366
11116.I30A066.1197415	0.9080016	0.7371598	0.21404178	0.36559293
11116.A11A070.1194243	0.9219078	0.61268365	0.21752822	0.4185889
11116.L09A102.1197357	0.99577886	0.978755	0.14125514	0.25197414
11116.A25A085.1194694	0.99964416	0.89624	0.077742614	0.55294716
11116.A24D073.1193745	0.981956	0.39235842	0.17116041	0.42425245
11116.I28A092.1197754	0.8926887	0.6298716	0.31507075	0.52264404
11116.L26A102.1194514	0.99920267	0.9816139	0.09332926	0.30971032
11116.L04A080.1193785	0.9289946	0.59793466	0.2037513	0.37829944
11116.A23B067.1198064	0.9464824	0.7664043	0.17279382	0.3399461
11116.A12B082.1196172	0.99991214	0.9838347	0.036615256	0.37944725
11116.U501A61.1197055	0.8411039	0.48100287	0.25712183	0.6051713
11116.A18B061.1194417	0.9489564	0.90387493	0.15550442	0.21380696
11116.L26A120.1195857	0.99105895	0.69694185	0.15778123	0.44985664
11116.A28C067.1196729	0.9442618	0.66983473	0.17633824	0.39129123
11116.A25B088.1195985	0.9994541	0.97575563	0.074369445	0.27602002
11116.I18A104.1195577	0.9037549	0.8031461	0.31924576	0.52623427
11116.A24B091.1195509	0.9999546	0.9786709	0.028971054	0.5164004
11116.I30A085.1197727	0.9186351	0.30619603	0.22742914	0.5553274
11116.A23A094.1196168	0.9996144	0.9117258	0.05630643	0.49732688
11116.I21A098.1194147	0.9540812	0.219437	0.23205145	0.6476514
11116.A26A073.1193895	0.85297984	0.5718181	0.25802252	0.44544002
11116.I11A068.1198451	0.96478164	0.75346017	0.16829368	0.32653913
